Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
6262,Abschreibungen auf aktivierte geringwertige Wirtschaftsgüter,07. Abschreibungen:a) auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen:Sofortabschreibungen geringwertiger Wirtschaftsgüter:Abschreibungen auf aktivierte geringwertige Wirtschaftsgüter
6264,Abschreibungen auf den Sammelposten Wirtschaftsgüter,07. Abschreibungen:a) auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen:Sofortabschreibungen geringwertiger Wirtschaftsgüter:Abschreibungen auf den Sammelposten Wirtschaftsgüter
6266,Außerplanmäßige Abschreibungen auf aktivierte geringwertige Wirtschaftsgüter,07. Abschreibungen:a) auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen:Sofortabschreibungen geringwertiger Wirtschaftsgüter:Außerplanmäßige Abschreibungen auf aktivierte geringwertige Wirtschaftsgüter
,b) auf Vermögensgegenstände des Umlaufvermögens,07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens
6270,Abschreibung auf Vermögensgegenstände des Umlaufvermögens,07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibung auf Vermögensgegenstände des Umlaufvermögens
6272,"Abschreibungen auf Umlaufvermögen, steuerrechtlich bedingt","07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibung auf Vermögensgegenstände des Umlaufvermögens:Abschreibungen auf Umlaufvermögen, steuerrechtlich bedingt"
6278,"Abschreibungen auf Roh-, Hilfsund Betriebsstoffe/Waren (soweit unüblich hoch)","07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibung auf Vermögensgegenstände des Umlaufvermögens:Abschreibungen auf Roh-, Hilfsund Betriebsstoffe/Waren (soweit unüblich hoch)"
6279,Abschreibungen auf fertige und unfertige Erzeugnisse (soweit unüblich hoch),07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibung auf Vermögensgegenstände des Umlaufvermögens:Abschreibungen auf fertige und unfertige Erzeugnisse (soweit unüblich hoch)
6280,Forderungsverluste,07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Forderungsverluste
6281,Forderungsverluste 7% USt,07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Forderungsverluste:Forderungsverluste 7% USt
6286,Forderungsverluste 19 % USt (soweit unüblich hoch),07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Forderungsverluste:Forderungsverluste 19 % USt (soweit unüblich hoch)
6290,"Abschreibungen auf Forderungen gegenüber Kapitalgesellschaften, an denen eine Beteiligung besteht (soweit unüblich hoch), § 3c EStG bzw. § 8b Abs. 3 KStG","07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibungen auf Forderungen gegenüber Kapitalgesellschaften, an denen eine Beteiligung besteht (soweit unüblich hoch), § 3c EStG bzw. § 8b Abs. 3 KStG"
6291,"Abschreibungen auf Forderungen gegenüber Gesellschaftern und nahe stehenden Personen (soweit unüblich hoch), § 8b Abs. 3 KStG","07. Abschreibungen:b) auf Vermögensgegenstände des Umlaufvermögens:Abschreibungen auf Forderungen gegenüber Gesellschaftern und nahe stehenden Personen (soweit unüblich hoch), § 8b Abs. 3 KStG"
,08. sonstige betriebliche Aufwendungen,08. sonstige betriebliche Aufwendungen
,a) ordentliche betriebliche Aufwendungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen
,1) Raumkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten
6302,"Interimskonto für Aufwendungen in einem anderen Land, bei denen eine Vorsteuervergütung möglich ist","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Interimskonto für Aufwendungen in einem anderen Land, bei denen eine Vorsteuervergütung möglich ist"
6305,Raumkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Raumkosten
6310,Miete,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Miete
6312,Miete/Aufwendungen für doppelte Haushaltsführung Unternehmer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Miete:Miete/Aufwendungen für doppelte Haushaltsführung Unternehmer
6313,Gewerbesteuerlich zu berücksichtigende Miete §8 GewStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Miete:Gewerbesteuerlich zu berücksichtigende Miete §8 GewStG
6314,Vergütungen an Mitunternehmer für die mietweise Überlassung ihrer Wirtschaftsgüter §16 EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Miete:Vergütungen an Mitunternehmer für die mietweise Überlassung ihrer Wirtschaftsgüter §16 EStG
6315,Pacht,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Pacht
6316,Leasing (unbewegliche Wirtschaftsgüter),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Pacht:Leasing (unbewegliche Wirtschaftsgüter)
6317,"Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Pacht:Aufwendungen für gemietete oder gepachtete unbewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind"
6318,GewStl. zu berücksichtigende Pacht §8 GewStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Pacht:GewStl. zu berücksichtigende Pacht §8 GewStG
6319,Vergütungen an Mitunternehmer für die pachtweise Überlassung ihrer Wirtschaftsgüter §15 EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Pacht:Vergütungen an Mitunternehmer für die pachtweise Überlassung ihrer Wirtschaftsgüter §15 EStG
6320,Heizung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Heizung
6325,"Gas, Strom, Wasser","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Gas, Strom, Wasser"
6330,Reinigung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Reinigung
6335,Instandhaltung betrieblicher Räume,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Instandhaltung betrieblicher Räume
6340,Abgaben für betrieblich genutzen Grundbesitz,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Abgaben für betrieblich genutzen Grundbesitz
6345,Sonstige Raumkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Sonstige Raumkosten
6348,Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Aufwendungen für ein häusliches Arbeitszimmer (abziehbarer Anteil)
6349,Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Aufwendungen für ein häusliches Arbeitszimmer (nicht abziehbarer Anteil)
6350,Sonstige Grundstücksaufwendungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Sonstige Grundstücksaufwendungen
6352,Sonstige Grundstücksaufwendungen (neutral),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:1) Raumkosten:Sonstige Grundstücksaufwendungen (neutral)
,"3) Versicherungen, Beiträge und Abgaben","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben"
6400,Versicherungen,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Versicherungen"
6405,"Versicherungen für Gebäude, die zum Betriebsvermögen gehören","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Versicherungen für Gebäude, die zum Betriebsvermögen gehören"
6410,Nettoprämie für Rückdeckung künftiger Versorgungsleistungen,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Nettoprämie für Rückdeckung künftiger Versorgungsleistungen"
6420,Beiträge,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Beiträge"
6430,Sonstige Abgaben,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Sonstige Abgaben"
6436,Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Sonstige Abgaben:Steuerlich abzugsfähige Verspätungszuschläge und Zwangsgelder"
6437,Steuerlich nicht abzugsfähige Verspätungszuschläge und Zwangsgelder,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Sonstige Abgaben:Steuerlich nicht abzugsfähige Verspätungszuschläge und Zwangsgelder"
6440,Ausgleichsabgabe i. S. d. Schwerbehindertengesetzes,"08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:3) Versicherungen, Beiträge und Abgaben:Ausgleichsabgabe i. S. d. Schwerbehindertengesetzes"
,4) Reparaturen und Instandhaltungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen
6450,Reparaturen und Instandhaltung von Bauten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Reparaturen und Instandhaltung von Bauten
6460,Reparaturen und Instandhaltung von technischen Anlagen und Maschinen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Reparaturen und Instandhaltung von technischen Anlagen und Maschinen
6470,Reparaturen und Instandhaltung von Betriebs- und Geschäftsausstattung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Reparaturen und Instandhaltung von Betriebs- und Geschäftsausstattung
6475,Reparaturen und Instandhaltung von anderen Anlagen und Betriebs- und Geschäftsausstattung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Reparaturen und Instandhaltung von anderen Anlagen und Betriebs- und Geschäftsausstattung
6485,Reparaturen und Instandhaltung von anderen Anlagen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Reparaturen und Instandhaltung von anderen Anlagen
6490,Sonstige Reparaturen und Instandhaltung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Sonstige Reparaturen und Instandhaltung
6495,Wartungskosten für Hard- und Software,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Wartungskosten für Hard- und Software
6498,Mietleasing bewegliche Wirtschaftsgüter für technische Anlagen und Maschinen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:4) Reparaturen und Instandhaltungen:Mietleasing bewegliche Wirtschaftsgüter für technische Anlagen und Maschinen
,6) Werbe- und Reisekosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten
6600,Werbekosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten
6605,Streuartikel,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Streuartikel
6610,Geschenke abzugsfähig ohne § 37b EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Geschenke abzugsfähig ohne § 37b EStG
6611,Geschenke abzugsfähig mit § 37b EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Geschenke abzugsfähig mit § 37b EStG
6612,Pauschale Steuer für Geschenke und Zuwendungen abzugsfähig,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Pauschale Steuer für Geschenke und Zuwendungen abzugsfähig
6620,Geschenke nicht abzugsfähig ohne § 37b EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Geschenke nicht abzugsfähig ohne § 37b EStG
6621,Geschenke nicht abzugsfähig mit § 37b EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Geschenke nicht abzugsfähig mit § 37b EStG
6622,Pauschale Steuer für Geschenke und Zuwendungen nicht abzugsfähig,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Pauschale Steuer für Geschenke und Zuwendungen nicht abzugsfähig
6625,Geschenke ausschlielich betrieblich genutzt,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Geschenke ausschlielich betrieblich genutzt
6629,Zugaben mit § 37b EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Zugaben mit § 37b EStG
6630,Repräsentationskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Repräsentationskosten
6640,Bewirtungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Bewirtungskosten
6641,Sonstige eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Sonstige eingeschränkt abziehbare Betriebsausgaben (abziehbarer Anteil)
6642,Sonstige eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Sonstige eingeschränkt abziehbare Betriebsausgaben (nicht abziehbarer Anteil)
6643,Aufmerksamkeiten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Aufmerksamkeiten
6644,Nicht abzugsfähige Bewirtungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Nicht abzugsfähige Bewirtungskosten
6645,"Nicht abzugsfähige Betriebsausgaben aus Werbe-, Repräsentations- und Reisekosten (nicht abziehbarer Anteil)","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Werbekosten:Nicht abzugsfähige Betriebsausgaben aus Werbe-, Repräsentations- und Reisekosten (nicht abziehbarer Anteil)"
6650,Reisekosten Arbeitnehmer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Arbeitnehmer
6660,Reisekosten Arbeitnehmer Übernachtungsaufwand,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Arbeitnehmer:Reisekosten Arbeitnehmer Übernachtungsaufwand
6663,Reisekosten Arbeitnehmer Fahrtkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Arbeitnehmer:Reisekosten Arbeitnehmer Fahrtkosten
6664,Reisekosten Arbeitnehmer Verpflegungsmehraufwand,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Arbeitnehmer:Reisekosten Arbeitnehmer Verpflegungsmehraufwand
6668,Kilometergelderstattung Arbeitnehmer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Arbeitnehmer:Kilometergelderstattung Arbeitnehmer
6670,Reisekosten Unternehmer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer
6672,Reisekosten Unternehmer (nicht abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Reisekosten Unternehmer (nicht abziehbarer Anteil)
6673,Reisekosten Unternehmer Fahrtkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Reisekosten Unternehmer Fahrtkosten
6674,Reisekosten Unternehmer Verpflegungsmehraufwand,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Reisekosten Unternehmer Verpflegungsmehraufwand
6680,Reisekosten Unternehmer Übernachtungsaufwand,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Reisekosten Unternehmer Übernachtungsaufwand
6688,Fahrten zwischen Wohnung und Arbeitsstätte (abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Fahrten zwischen Wohnung und Arbeitsstätte (abziehbarer Anteil)
6689,Fahrten zwischen Wohnung und Arbeitsstätte (nicht abziehbarer Anteil),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Fahrten zwischen Wohnung und Arbeitsstätte (nicht abziehbarer Anteil)
6690,Fahrten Wohnung zwischen Wohnung und Arbeitsstätte (Haben),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Fahrten Wohnung zwischen Wohnung und Arbeitsstätte (Haben)
6691,Verpflegungsmehraufwendungen im Rahmen der doppelten Haushaltsführung Unternehmer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:6) Werbe- und Reisekosten:Reisekosten Unternehmer:Verpflegungsmehraufwendungen im Rahmen der doppelten Haushaltsführung Unternehmer
,8) verschiedene betriebliche Kosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten
6800,Porto,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Porto
6805,Telefon,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Telefon
6810,Telefax und Internetkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Telefax und Internetkosten
6815,Bürobedarf,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Bürobedarf
6820,"Zeitschriften, Bücher","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Zeitschriften, Bücher"
6821,Fortbildungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Fortbildungskosten
6822,Freiwillige Sozialleistungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Freiwillige Sozialleistungen
6823,Vergütungen an Mitunternehmer §15 EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Vergütungen an Mitunternehmer §15 EStG
6824,Haftungsvergütung an Mitunternehmer §15 EStG,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Haftungsvergütung an Mitunternehmer §15 EStG
6825,Rechts- und Beratungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Rechts- und Beratungskosten
6827,Abschluß- und Prüfungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Abschluß- und Prüfungskosten
6830,Buchführungskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Buchführungskosten
6833,Vergütungen an Gesellschafter für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Vergütungen an Gesellschafter für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter
6834,Vergütungen an Mitunternehmer für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Vergütungen an Mitunternehmer für die miet- oder pachtweise Überlassung ihrer beweglichen Wirtschaftsgüter § 15 EStG (mit Sonderbetriebseinnahme korrespondierend)
6835,Mieten für Einrichtungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Mieten für Einrichtungen
6836,Pacht (bewegliche Wirtschaftsgüter,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Pacht (bewegliche Wirtschaftsgüter
6837,"Aufwendungen für die zeitlich befristete Überlassung von Rechten (Lizenzen, Konzessionen)","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Aufwendungen für die zeitlich befristete Überlassung von Rechten (Lizenzen, Konzessionen)"
6838,"Aufwendungen für gemietete oder gepachtete bewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Aufwendungen für gemietete oder gepachtete bewegliche Wirtschaftsgüter, die gewerbesteuerlich hinzuzurechnen sind"
6840,Mietleasing,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Mietleasing
6845,Werkzeuge und Kleingeräte,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Werkzeuge und Kleingeräte
6850,Sonstiger Betriebsbedarf,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Sonstiger Betriebsbedarf
6854,Genossenschaftliche Rückvergütung an Mitglieder,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Genossenschaftliche Rückvergütung an Mitglieder
6855,Nebenkosten des Geldverkehrs,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Nebenkosten des Geldverkehrs
6856,Aufwendungen aus Anteilen an Kapitalgesellschaften 100 %/ 50 % nicht abzugsfähig (inländische Kap.Ges.),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Aufwendungen aus Anteilen an Kapitalgesellschaften 100 %/ 50 % nicht abzugsfähig (inländische Kap.Ges.)
6857,Aufwendungen aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % nicht abzugsfähig,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Aufwendungen aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % nicht abzugsfähig
6858,Veräußerungskosten § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG (bei Veräußerungsverlust),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Veräußerungskosten § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG (bei Veräußerungsverlust)
6859,Aufwendungen für Abraum- und Abfallbeseitigung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Aufwendungen für Abraum- und Abfallbeseitigung
6860,Nicht abziehbare Vorsteuer,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Nicht abziehbare Vorsteuer
6865,Nicht abziehbare Vorsteuer 7%,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Nicht abziehbare Vorsteuer:Nicht abziehbare Vorsteuer 7%
6871,Nicht abziehbare Vorsteuer 19 %,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Nicht abziehbare Vorsteuer:Nicht abziehbare Vorsteuer 19 %
6875,Nicht abziehbare Hälfte der Aufsichtsratsvergütungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Nicht abziehbare Hälfte der Aufsichtsratsvergütungen
6876,Abziehbare Aufsichtsratsvergütungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Abziehbare Aufsichtsratsvergütungen
6879,Verwahrentgelt,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:8) verschiedene betriebliche Kosten:Verwahrentgelt
6300,sonstige betriebliche Aufwendungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:sonstige betriebliche Aufwendungen
6303,Fremdleistungen und Fremdarbeiten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:sonstige betriebliche Aufwendungen:Fremdleistungen und Fremdarbeiten
6304,Sonstige betriebl.u.regelm.Aufwendungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:sonstige betriebliche Aufwendungen:Sonstige betriebl.u.regelm.Aufwendungen
6500,5) Fahrzeugkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten
6520,Kfz-Versicherungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Kfz-Versicherungen
6530,Laufende Kfz-Betriebskosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Laufende Kfz-Betriebskosten
6540,Kfz-Reparaturen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Kfz-Reparaturen
